win, avgmse,stdmse,avgmae,stdmae,avgmape,stdmape,avgr2,stdr2
db14,0.080220138,0.031590708,0.211843155,0.039698831,0.06382618,0.012240065,0.158788032,0.26013472
db16,0.093844338,0.041646161,0.219493343,0.044317886,0.065952315,0.013987159,0.068853172,0.221574147
coif6,0.08792581,0.037772551,0.220939215,0.044868822,0.066387339,0.013009542,0.09940769,0.239179482
sym12,0.085669284,0.038959089,0.221088945,0.045942625,0.066436349,0.013744323,0.136649617,0.207123372
sym17,0.08824815,0.04438228,0.221786953,0.053824189,0.066574557,0.016061044,0.123282752,0.241034285
db18,0.08679765,0.038343137,0.222121914,0.048913862,0.066846343,0.01477744,0.107687986,0.317083984
db15,0.094591958,0.044181174,0.224164184,0.049326625,0.067428885,0.015202693,0.027248614,0.346635769
bior5.5,0.092644254,0.048659362,0.22475705,0.051832956,0.067515153,0.014988392,0.095432407,0.259280743
sym13,0.086849171,0.034309828,0.225063931,0.046402485,0.067675214,0.014143813,0.110021097,0.227826368
sym9,0.088754701,0.040244963,0.225387475,0.045886974,0.0677949,0.013699037,0.089756121,0.312211198
coif2,0.090843579,0.037002111,0.226788867,0.035187892,0.067910799,0.010671305,0.063768182,0.235878447
sym14,0.094211176,0.0432704,0.227207097,0.045069927,0.068164241,0.013362946,0.030528673,0.332567046
db13,0.09136098,0.035415563,0.226708516,0.041200006,0.068207544,0.012891851,0.045020422,0.325022548
sym15,0.094760207,0.036797869,0.228235031,0.035027288,0.068560884,0.011361697,0.002333916,0.300903249
sym18,0.093108319,0.039840393,0.227807112,0.047400677,0.068711341,0.01449623,0.050843172,0.236830437
db11,0.095220973,0.040054966,0.228307003,0.041536832,0.068845711,0.012563142,0.024455093,0.256980138
coif4,0.093969891,0.039451869,0.229180761,0.042494425,0.068891881,0.012587858,0.032589282,0.280873021
sym8,0.09503866,0.043723941,0.229815621,0.047790971,0.068973028,0.014046514,0.043347577,0.277271173
sym6,0.098319966,0.051011722,0.231141314,0.056344412,0.069298503,0.016800057,0.03498063,0.262034372
rbio5.5,0.096565319,0.049486972,0.230966032,0.055739246,0.069373417,0.018129776,-0.002103431,0.511047417
sym16,0.092484973,0.042710007,0.230393439,0.055253994,0.069385805,0.017117503,0.066009139,0.304415775
sym11,0.096622359,0.043419744,0.231047693,0.044960032,0.069443012,0.013702806,0.010797277,0.301811389
rbio3.3,0.099986886,0.059772001,0.233328524,0.073081868,0.070154249,0.020766768,0.044118469,0.338408456
db17,0.098160652,0.045597454,0.233048194,0.055212815,0.070345321,0.017198855,0.000312046,0.356662102
rbio4.4,0.101266973,0.049897503,0.235102885,0.05280942,0.070625869,0.015834131,-0.035987435,0.409562329
coif3,0.098885554,0.041793269,0.235790023,0.04497461,0.070664796,0.013412729,-0.015787584,0.257042601
rbio6.8,0.099782702,0.044569613,0.235267082,0.049295641,0.070712598,0.015319723,-0.047564105,0.42899058
rbio2.4,0.103548401,0.054402488,0.236187041,0.06068535,0.070869842,0.01855525,-0.036820013,0.400397836
rbio2.6,0.096420483,0.04520947,0.235322047,0.054122445,0.070907406,0.017109685,0.007239727,0.383699568
db7,0.102544594,0.05379305,0.236687414,0.060904263,0.071074045,0.018496793,-0.001763937,0.348230793
db3,0.107874712,0.050451235,0.238013644,0.05702696,0.071325809,0.017638854,-0.116252264,0.523854295
bior4.4,0.108590605,0.052324231,0.239776974,0.050381925,0.071868831,0.014921933,-0.087373076,0.30060585
rbio1.5,0.106142865,0.052631498,0.239643633,0.059845171,0.071947829,0.018520469,-0.066491076,0.408504407
db4,0.101276967,0.042183362,0.239653382,0.045183368,0.072062315,0.013982575,-0.050635095,0.342112596
sym5,0.099487809,0.036705684,0.240614105,0.04229803,0.072219483,0.013445351,-0.048685495,0.317476434
bior3.5,0.104871045,0.054274386,0.240768599,0.049941973,0.072386145,0.01610939,-0.066674413,0.374371343
sym2,0.096181563,0.045910587,0.238528504,0.055149656,0.072625549,0.017369793,0.0082674,0.342669356
db8,0.101463677,0.04809683,0.241080198,0.057711894,0.072738113,0.017970526,0.001063248,0.246836667
db6,0.10669398,0.057888868,0.2435423,0.062154142,0.072877868,0.018393252,-0.039716359,0.286953925
rbio2.8,0.106977885,0.042432993,0.243660964,0.04937306,0.073044001,0.015525097,-0.105831032,0.328915132
sym10,0.101524058,0.043393806,0.242835756,0.045321793,0.073076039,0.013691742,-0.036853912,0.243266768
db12,0.101592595,0.04538546,0.242687373,0.052770102,0.073127718,0.016449162,-0.050867463,0.371899603
sym4,0.10547598,0.048004881,0.2425136,0.05443466,0.073128433,0.01740029,-0.113951826,0.472938411
bior3.7,0.109923469,0.054639773,0.24415195,0.053959055,0.07319095,0.017838121,-0.142517002,0.488934044
bior3.1,0.111071133,0.057476333,0.244000829,0.061688907,0.073355696,0.019977392,-0.142991196,0.570667198
sym3,0.108908784,0.061165291,0.245395221,0.059685308,0.073515454,0.018612857,-0.142218094,0.709220928
rbio2.2,0.104790875,0.065705203,0.244479295,0.071125429,0.073573912,0.020690923,-0.020097007,0.331228746
sym7,0.108860815,0.045099936,0.245715553,0.044168001,0.073682722,0.014839185,-0.155453107,0.44401685
bior6.8,0.110262482,0.052730064,0.244963328,0.051649593,0.073705111,0.015663223,-0.130213494,0.392053387
db9,0.105387471,0.046735462,0.244014398,0.053065502,0.073807556,0.016469021,-0.057537617,0.255361168
coif5,0.102266055,0.046370758,0.245187196,0.049156289,0.073818609,0.014027669,-0.037377524,0.284545208
bior3.9,0.109129849,0.049792903,0.245814514,0.051467582,0.07400802,0.016956415,-0.114742953,0.421751873
db2,0.09988564,0.042192093,0.244077946,0.053671868,0.074098764,0.01701267,-0.032047089,0.309919318
db10,0.102857314,0.049894521,0.246531069,0.062941056,0.074164659,0.018715201,-0.032039627,0.290577176
bior1.5,0.100893298,0.036289919,0.244329399,0.044267912,0.07427844,0.014223566,-0.089597024,0.449219294
coif1,0.09783965,0.049172164,0.244250178,0.058767919,0.074448994,0.018058433,0.010849928,0.331230426
bior3.3,0.121234494,0.060684485,0.252501713,0.065254612,0.075517965,0.021043515,-0.236136655,0.537772486
rbio1.3,0.112005902,0.048913988,0.250638227,0.05733711,0.075550796,0.018092988,-0.145074154,0.393221938
rbio3.7,0.10971638,0.052529966,0.250778874,0.057313563,0.075570412,0.018694199,-0.152184973,0.560845085
bior2.6,0.110752041,0.0542268,0.252734595,0.060404714,0.076388966,0.019086358,-0.120154668,0.355334516
bior2.4,0.113387356,0.053265666,0.254197722,0.06546185,0.07688743,0.021427555,-0.145831426,0.465518162
bior2.8,0.108369493,0.046520739,0.25414131,0.056848693,0.076923472,0.017998566,-0.120128245,0.418276763
db5,0.11430502,0.05009521,0.25579607,0.054737533,0.077172902,0.017786213,-0.202707012,0.492175553
bior2.2,0.110585256,0.064258435,0.255292597,0.07119927,0.077477428,0.021786597,-0.0851303,0.37480264
bior1.3,0.111493972,0.050173846,0.255235904,0.057447081,0.07772758,0.018649011,-0.164114463,0.387580713
haar,0.107910097,0.030781282,0.255471854,0.039946373,0.078055057,0.014581705,-0.18997287,0.474079468
bior1.1,0.111075495,0.044342631,0.25785698,0.045878122,0.078434168,0.015096789,-0.208215533,0.507782936
rbio3.9,0.112870437,0.049756974,0.260247218,0.058570687,0.078646023,0.018097017,-0.160358866,0.385979666
rbio3.5,0.12745739,0.063786668,0.265720266,0.066302292,0.079809689,0.020641822,-0.30270414,0.520443979
db1,0.117320376,0.043429718,0.265306528,0.052258029,0.080670294,0.0177667,-0.283337299,0.597172243
rbio1.1,0.122277885,0.046475847,0.27208665,0.053419156,0.082763921,0.018739607,-0.346430721,0.643036686
rbio3.1,0.142885425,0.059143075,0.294886689,0.057801376,0.089444676,0.018079011,-0.551085801,0.65135235
